song,artist,youtube_id,AI_Keywords,
有一種悲傷,A-Lin,XtxReTouWjc,"[0.82, 0.35, 0.78, 0.65], ALin原聲帶, 電影原聲帶, OST, 2018, 2010年代, 2010s, 台灣, Taiwan, 比悲傷更悲傷的故事, More Than Blue, 高音唱腔, High-pitched Vocals, 鋼琴, Piano, 弦樂, Strings, 壯闊深情, Grand Affection, 極致執著, Extreme Obsession, 失戀療傷, Heartbreak Healing, 獨處時光, Solitude, 電影原聲帶, Original Soundtrack, 我不羨慕太陽, 有一種悲傷是你的名字停留在我的過往",
擱淺,周杰倫,6MZTlHZtNdo,"[0.30, 0.80, 0.78, 0.65], 七裡香, 2004, 2000年代, 2000s, 台灣, Taiwan, 周氏情歌, Jay Chou Style, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 電吉他, Electric Guitar, 情感糾葛, Emotional Entanglement, 孤獨寂寞, Loneliness, 失戀療傷, Heartbreak Healing, 獨處時光, Solitude, 流行搖滾, Pop Rock, 久未放晴的天空 依舊留著妳的笑容, 風箏在陰天擱淺 想念還在等待救援",
我期待的不是雪,張妙格,chnc478quUA,"[0.82, 0.35, 0.78, 0.35], 2022, 2020年代, 2020s, 中國, China, 甜美嗓音, Sweet Vocals, 鋼琴, Piano, 傷感釋懷, Sadness and Relief, 孤獨寂寞, Loneliness, 白雪皚皚, Snowy Weather, 獨處時光, Solitude, 網紅歌曲, Internet Hit, 我期待的不是雪 而是有你的冬天, 和音：卿羅",
告白氣球,周杰倫,vLTfzEhd7ss,"[0.82, 0.35, 0.78, 0.35], 周杰倫的床邊故事, 2016, 2010年代, 2010s, 台灣, Taiwan, 周氏情歌, Jay Chou Style, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 甜蜜愉悅, Sweet Joy, 輕快活潑, Light and Lively, 約會, Dating, 咖啡廳, Cafe, 華語流行, Mandopop, 當代節奏藍調, Contemporary R&B, 塞納河畔左岸的咖啡, 告白氣球風吹到對街",
天黑黑,孫燕姿,CoXarNJwIM0,"[0.82, 0.35, 0.78, 0.35], 這一刻, 2000, 2000年代, 2000s, 台灣, Taiwan, 清亮人聲, Clear Vocals, 鋼琴, Piano, 傷感釋懷, Sadness and Relief, 深夜沉思, Late Night Contemplation, 遊子鄉愁, Homesickness, 孤獨寂寞, Loneliness, 下雨天, Rainy Day, 勵志成長, Inspirational Growth, 獨處時光, Solitude, 華語流行, Mandopop, 原聲民謠, Acoustic Folk, 我的小時候 吵鬧任性的時候, 天黑黑 欲落雨 天黑黑 黑黑",
漂向北方,"黃明志, 王力宏",4Zk3j49y7mg,"[0.30, 0.80, 0.55, 0.65], 2017, 2010年代, 2010s, 馬來西亞, Malaysia, 台灣, Taiwan, 高音唱腔, High-pitched Vocals, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 弦樂, Strings, 遊子鄉愁, Homesickness, 孤獨寂寞, Loneliness, 獨處時光, Solitude, 街頭觀察, Street Observation, 華語流行, Mandopop, 嘻哈, Hip Hop, 高聳古老的城牆 擋不住憂傷, 我漂向北方 別問我家鄉",
Queencard,i-dle,qn0pGw6Iw3Q,"[0.30, 0.80, 0.55, 0.35], I feel, 2023, 2020年代, 2020s, 韓國, South Korea, 強力人聲, Powerful Vocals, 合成器, Synthesizer, 鼓組, Drums, 自信張揚, Confident and Assertive, 派對狂歡, Party, 舞曲流行, Dance Pop, Hey you 뭘 보니, I'm",
永不失聯的愛,周興哲,,"[0.82, 0.35, 0.55, 0.35], 如果雨之後, 2017, 2010年代, 2010s, 台灣, Taiwan, 華語流行, Mandopop, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 壯闊深情, Grand Affection, 極致執著, Extreme Devotion, 璀璨星空, Starry Sky, 獨處時光, Solitude, 親愛的你躲在哪裡發呆, 你給我 這一輩子都不想失聯的愛",
嘉賓,張遠,cL_xbqlflno,"[0.82, 0.35, 0.78, 0.65], 2020, 2020年代, 2020s, 中國, China, 高音唱腔, High-pitched Vocals, 鋼琴, Piano, 弦樂, Strings, 傷感釋懷, Sadness and Relief, 情感糾葛, Emotional Entanglement, 失戀療傷, Heartbreak Healing, 獨處時光, Solitude, 華語流行, Mandopop, 分手後第幾個冬季, 感謝你特別邀請 來見證你的愛情",
熱戀冰淇淋,苡慧,dPnSF3tf3sM,"[0.45, 0.45, 0.55, 0.35], 2022, 2020年代, 2020s, 中國, China, 甜美嗓音, Sweet Vocals, 合成器, Synthesizer, 甜蜜愉悅, Sweet Joy, 約會, Dating, 華語流行, Mandopop, 網紅歌曲, Internet Viral Song, 咬一口熱戀冰淇淋, 混音/母帶：歐姆@FLOWSIXTEEN",
以後別做朋友,周興哲,c9P_lSnPSP8,"[0.82, 0.35, 0.78, 0.35], 學著愛, 2014, 2010年代, 2010s, 台灣, Taiwan, 十六個夏天, The Way We Were, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 情感糾葛, Emotional Entanglement, 失戀療傷, Heartbreak Healing, 華語流行, Mandopop, 周氏情歌, Eric Chou Style, 習慣聽你分享生活細節, 以後別做朋友朋友不能牽手",
少年,夢然,lWYwRKgMMcE,"[0.45, 0.45, 0.55, 0.35], 2019, 2010年代, 2010s, 中國, China, 氣聲人聲, Breathy Vocals, 合成器, Synthesizer, 鼓組, Drums, 孤獨寂寞, Loneliness, 情感糾葛, Emotional Entanglement, 獨處時光, Solitude, 網紅歌曲, Viral Pop, 城市的夜晚 霓虹燈璀璨, 我沒有你陪伴 我真的好孤單",
十年,陳奕迅,q5vxoGF9hPU,"[0.82, 0.35, 0.78, 0.35], 黑.白.灰, 2003, 2000年代, 2000s, 台灣, Taiwan, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 傷感釋懷, Sadness and Relief, 情感糾葛, Emotional Entanglement, 獨處時光, Solitude, 失戀療傷, Healing from Heartbreak, 華語流行, Mandopop, 如果那兩個字沒有顫抖, 十年之後 我們是朋友",
隱形的翅膀,張韶涵,DFvrgS7tMdo,"[0.82, 0.35, 0.55, 0.65], 潘朵拉, 2006, 2000年代, 2000s, 台灣, Taiwan, 清亮人聲, Clear Vocals, 高音唱腔, High-pitched Vocals, 鋼琴, Piano, 壯闊深情, Grand Affection, 勵志成長, Inspirational Growth, 華語流行, Mandopop, 每一次都在徘徊孤單中堅強, 我知道我一直有雙隱形的翅膀",
踏山河,是七叔呢,SjWMUhn1yxo,"[0.45, 0.45, 0.55, 0.35], 2021, 2020年代, 2020s, 中國, China, 滄桑嗓音, Husky Voice, 傳統國樂器, Traditional Chinese Instruments, 燃系熱血, Burning Passion, 勵志成長, Inspirational Growth, 古風國風, Traditional Chinese Style, 秋風落日入長河 江南煙雨行舟, 十面埋伏",
錯位時空,艾辰,MnaHdpaeqb4,"[0.82, 0.35, 0.78, 0.35], 2021, 2020年代, 2020s, 中國, China, 清亮人聲, Clear Vocals, 鋼琴, Piano, 合成器, Synthesizer, 情感糾葛, Emotional Entanglement, 孤獨寂寞, Loneliness, 失戀療傷, Heartbreak Healing, 獨處時光, Solitude, 網紅歌曲, Internet Hit, 華語流行, Mandopop, 填不滿半排觀眾的電影, 我吹過你吹過的晚風",
Fate,i-dle,KEAqNZ6Co5k,"[0.45, 0.45, 0.55, 0.35], 2, 2024, 2020年代, 2020s, 韓國, South Korea, 韓語流行, Korean Pop, 氣聲人聲, Breathy Vocals, 電吉他, Electric Guitar, 合成器, Synthesizer, 情感糾葛, Emotional Entanglement, 獨處時光, Solitude, 另類流行, Alternative Pop, 오늘도 아침엔 입에 빵을 물고, 평온했던 하늘이 무너지고",
青花瓷,周杰倫,X64RKJlR1hA,"[0.82, 0.35, 0.78, 0.35], 我很忙, 2007, 2000年代, 2000s, 台灣, Taiwan, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 古箏, Guzheng, 弦樂, Strings, 復古懷舊, Retro Nostalgia, 獨處時光, Solitude, 古風國風, Traditional Chinese Style, 周氏情歌, Jay Chou Style, 素胚勾勒出青花 筆鋒濃轉淡, 天青色等煙雨 而我在等妳",
痴心絕對,李聖傑,jdTuTdUbSok,"[0.82, 0.35, 0.78, 0.65], 2003, 2000年代, 2000s, 台灣, Taiwan, 高音唱腔, High-pitched Vocals, 鋼琴, Piano, 情感糾葛, Emotional Entanglement, 極致執著, Extreme Obsession, 失戀療傷, Heartbreak Healing, 獨處時光, Solitude, 華語流行, Mandopop, 想用一杯Latte把妳灌醉, 為妳付出那種傷心妳永遠不了解",
跳樓機,LBI利比,XUWwk956Ke8,"[0.82, 0.35, 0.78, 0.35], 2023, 2020年代, 2020s, 中國, China, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 合成器, Synthesizer, 情感糾葛, Emotional Entanglement, 極致執著, Extreme Obsession, 失戀療傷, Heartbreak Healing, 獨處時光, Solitude, 網紅歌曲, Internet Viral Song, 華語流行, Mandopop, 風走了 只留下一條街的葉落, Baby 我們的感情好像跳樓機",
暖暖,梁靜茹,V_BfEpRpf30,"[0.82, 0.35, 0.78, 0.35], 親親, 2006, 2000年代, 2000s, 台灣, Taiwan, 甜美嗓音, Sweet Vocals, 鋼琴, Piano, 溫柔療癒, Gentle Healing, 甜蜜愉悅, Sweet Joy, 約會, Dating, 華語流行, Mandopop, 都可以隨便的你說的我都願意去, 我想說其實你很好你自己卻不知道",
勇氣,梁靜茹,_hgxWv-I0Pg,"[0.82, 0.35, 0.55, 0.35], 戀愛的力量, 2000, 2000年代, 2000s, 台灣, Taiwan, 甜美嗓音, Sweet Vocals, 鋼琴, Piano, 壯闊深情, Grand Affection, 極致執著, Extreme Persistence, 勵志成長, Inspirational Growth, 華語流行, Mandopop, 終於做了這個決定, 愛真的需要勇氣",
失眠飛行,"沈以誠, 薛明媛",6nwD2263zeE,"[0.82, 0.35, 0.55, 0.35], 2019, 2010年代, 2010s, 中國, China, 清亮人聲, Clear Vocals, 氣聲人聲, Breathy Vocals, 合成器, Synthesizer, 鋼琴, Piano, 情感糾葛, Emotional Entanglement, 獨處時光, Solitude, 網紅歌曲, Internet Hit, 華語流行, Mandopop, 想要和你 一起闖進森林潛入海底, 想要和你低空飛行, 和你到處收集氧氣",
訣愛,詹雯婷,PW_9zrNI_vc,"[0.30, 0.80, 0.55, 0.65], 2022, 2020年代, 2020s, 台灣, Taiwan, 蒼蘭訣, Love Between Fairy and Devil, 高音唱腔, High-pitched Vocals, 電吉他, Electric Guitar, 合成器, Synthesizer, 壯闊深情, Grand Passion, 極致執著, Extreme Obsession, 勵志成長, Inspirational Growth, 華語流行, Mandopop, 流行搖滾, Pop Rock, 等天崩地裂的那一瞬間, 拔情訣愛的最後",
目及皆是你,小藍背心,I_eBdjTLvZ4,"[0.82, 0.35, 0.55, 0.35], 2021, 2020年代, 2020s, 中國, China, 甜美嗓音, Sweet Vocals, 合成器, Synthesizer, 鋼琴, Piano, 極致執著, Extreme Obsession, 甜蜜愉悅, Sweet Joy, 約會, Dating, 璀璨星空, Starry Sky, 華語流行, Mandopop, 網紅歌曲, Viral Pop, 玻璃上的霧氣 我臨摹一個你, 我戒不掉你 像戒不了呼吸",
家家酒,家家,wbSWTATfZ2c,"[0.82, 0.35, 0.55, 0.35], 還是想念, 2016, 2010年代, 2010s, 台灣, Taiwan, 必勝練習生, Love By Design, 靈魂嗓音, Soulful Vocals, 鋼琴, Piano, 情感糾葛, Emotional Entanglement, 獨處時光, Solitude, 華語流行, Mandopop, 抱歉 不是洋娃娃, 要是像 家家酒",
泡沫,鄧紫棋,Mblqb4rgGc0,"[0.82, 0.35, 0.78, 0.65], Xposed, 2012, 2010年代, 2010s, 中國, China, 高音唱腔, High-pitched Vocals, 鋼琴, Piano, 情感糾葛, Emotional Entanglement, 傷感釋懷, Sadness and Relief, 失戀療傷, Heartbreak Healing, 獨處時光, Solitude, 華語流行, Mandopop, 就像被騙的我 是幸福的, 美麗的泡沫 雖然一剎花火",
有點甜,"汪蘇瀧, BY2",766b_EOWuk4,"[0.82, 0.35, 0.55, 0.35], 萬有引力, 2012, 2010年代, 2010s, 中國, China, 甜美嗓音, Sweet Vocals, 鋼琴, Piano, 甜蜜愉悅, Sweet Joy, 約會, Dating, 華語流行, Mandopop, 摘一顆蘋果等你從門前經過, 用時間去思念愛情有點甜",
愛你,王心凌,3zuNDRrvIgE,"[0.45, 0.45, 0.55, 0.35], Red Cyndi, 2004, 2000年代, 2000s, 台灣, Taiwan, 天國的嫁衣, Heaven's Wedding Gown, 甜美嗓音, Sweet Vocals, 合成器, Synthesizer, 甜蜜愉悅, Sweet Joy, 約會, Dating, 華語流行, Mandopop, 怎麼我一直狂打噴嚏, 情話多說一點 想我就多看一眼",
心牆,郭靜,zQumuj8BJL4,"[0.82, 0.35, 0.78, 0.35], 在樹上唱歌, 2009, 2000年代, 2000s, 台灣, Taiwan, 女王不下班, Office Girls, 清亮人聲, Clear Vocals, 甜美嗓音, Sweet Voice, 鋼琴, Piano, 溫柔療癒, Gentle Healing, 甜蜜愉悅, Sweet Joy, 勵志成長, Inspirational Growth, 夏日陽光, Summer Sunshine, 華語流行, Mandopop, 一個人眺望碧海和藍天, 你的心有一道牆",
星辰大海,黃霄雲,8eOPG_mfelU,"[0.82, 0.35, 0.55, 0.65], 2020, 2020年代, 2020s, 中國, China, 華語流行, Mandopop, 高音唱腔, High-pitched Vocals, 鋼琴, Piano, 合成器, Synthesizer, 壯闊深情, Grand Affection, 勵志成長, Inspirational Growth, 璀璨星空, Starry Sky, Chinese Pop, 我願變成一顆恆星, 會不會我們的愛會被風吹向大海",
勇氣,棉子,1ngXmCcis5c,"[0.82, 0.35, 0.55, 0.35], 2020, 2020年代, 2020s, 中國, China, 甜美嗓音, Sweet Vocals, 鋼琴, Piano, 極致執著, Extreme Persistence, 約會, Dating, 網紅歌曲, Internet Hit, 我愛你 無畏人海的擁擠, 只為能靠近你 哪怕一釐米",
孤勇者,陳奕迅,-h9Cq4H1Ic4,"[0.30, 0.80, 0.55, 0.65], 2021, 2020年代, 2020s, 中國, China, 英雄聯盟-雙城之戰, Arcane, 渾厚人聲, Powerful Vocals, 電吉他, Electric Guitar, 鼓組, Drums, 燃系熱血, Burning Passion, 勵志成長, Inspirational Growth, 流行搖滾, Pop Rock, 都是勇敢的, 愛你孤身走暗巷",
煎熬,李佳薇,xTAoVO4IekI,"[0.82, 0.35, 0.78, 0.65], 感謝愛人, 2011, 2010年代, 2010s, 台灣, Taiwan, 高音唱腔, High-pitched Vocals, 鋼琴, Piano, 壯闊深情, Grand Passion, 極致執著, Extreme Persistence, 失戀療傷, Heartbreak Healing, 獨處時光, Solitude, 華語流行, Mandopop, 早知道你只是飛鳥, 心一跳 愛就開始煎熬",
你敢不敢,徐佳瑩,KOxki_utT4A,"[0.82, 0.35, 0.78, 0.35], 理想人生, 2012, 2010年代, 2010s, 台灣, Taiwan, 華語流行, Mandopop, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 情感糾葛, Emotional Entanglement, 極致執著, Extreme Obsession, 失戀療傷, Heartbreak Healing, 獨處時光, Solitude, 你的電話 我還是接了, 你敢不敢 承認我愛上你的壞",
不如,秦海清,Xy7pxOLbbVI,"[0.82, 0.35, 0.78, 0.35], 2021, 2020年代, 2020s, 中國, China, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 傷感釋懷, Sadness and Relief, 情感糾葛, Emotional Entanglement, 獨處時光, Solitude, 失戀療傷, Heartbreak Healing, 網紅歌曲, Internet Hit, 華語流行, Mandopop, 刪掉所有關於你的回憶, 不如放棄 不如交給酒精",
大魚,周深,mN_vRmST5GU,"[0.82, 0.35, 0.55, 0.65], 深的深, 2016, 2010年代, 2010s, 中國, China, 大魚海棠, Big Fish & Begonia, 清亮人聲, Clear Vocals, 高音唱腔, High-pitched Vocals, 鋼琴, Piano, 壯闊深情, Grand Affection, 獨處時光, Solitude, 電影原聲帶, Soundtrack, 海浪無聲將夜幕深深淹沒, 怕你飛遠去 怕你離我而去",
我會等,梧彤,Mutvl-VRMf8,"[0.82, 0.35, 0.78, 0.35], 2024, 2020年代, 2020s, 中國, China, 清亮人聲, Clear Vocals, 鋼琴, Piano, 溫柔療癒, Gentle Healing, 極致執著, Extreme Persistence, 璀璨星空, Starry Sky, 勵志成長, Inspirational Growth, 獨處時光, Solitude, 華語流行, Mandopop, 網紅歌曲, Internet Pop, 我想學一個遨遊太空的魔法, 我會等枯樹生出芽 開出新的花",
想和你看五月的晚霞,陳華,ioKDsyL3Wvg,"[0.45, 0.45, 0.78, 0.35], 華與浪漫, 2022, 2020年代, 2020s, 台灣, Taiwan, 甜美嗓音, Sweet Vocals, 合成器, Synthesizer, 甜蜜愉悅, Sweet Joy, 約會, Dating, 華語流行, Mandopop, 經過沿海的公路 越過漫漫河流, 想和你看五月的晚霞 六月日落",
雨愛,楊丞琳,tS9JfvHziXw,"[0.82, 0.35, 0.78, 0.35], 2009, 2000年代, 2000s, 台灣, Taiwan, 海派甜心, Hi My Sweetheart, 甜美嗓音, Sweet Vocals, 鋼琴, Piano, 情感糾葛, Emotional Entanglement, 極致執著, Extreme Obsession, 下雨天, Rainy Day, 失戀療傷, Heartbreak Healing, 華語流行, Mandopop, 窗外的天氣, 聽雨的聲音 一滴滴清晰",
稻香,周杰倫,6E2K3tgGMGw,"[0.82, 0.35, 0.78, 0.35], 魔傑座, 2008, 2000年代, 2000s, 台灣, Taiwan, 清亮人聲, Clear Vocals, 鋼琴, Piano, 吉他, Acoustic Guitar, 溫柔療癒, Gentle Healing, 遊子鄉愁, Nostalgia for Hometown, 勵志成長, Inspirational Growth, 華語流行, Mandopop, 原聲民謠, Acoustic Folk, 對這個世界如果你有太多的抱怨, 還記得你說家是唯一的城堡隨著稻香河流繼續奔跑",
那些你很冒險的夢,林俊傑,fNahjwxgiHc,"[0.82, 0.35, 0.78, 0.65], 學不會, 2011, 2010年代, 2010s, 台灣, Taiwan, 林氏情歌, JJ Lin Style, 高音唱腔, High-pitched Vocals, 鋼琴, Piano, 弦樂, Strings, 情感糾葛, Emotional Entanglement, 極致執著, Extreme Persistence, 失戀療傷, Heartbreak Healing, 獨處時光, Solitude, 華語流行, Mandopop, 抒情慢歌, Ballad, 當兩顆心開始震動, 那些你很冒險的夢 我陪你去瘋",
APT.,"ROSÉ, Bruno Mars",8-ukYN9o1Tw,"[0.30, 0.80, 0.55, 0.35], rosie, 2024, 2020年代, 2020s, 韓國, South Korea, 英語流行, English Pop, 韓語流行, Korean Pop, 甜美嗓音, Sweet Vocals, 粗獷嗓音, Raspy Vocals, 電吉他, Electric Guitar, 鼓組, Drums, 趣味敘事, Playful Narrative, 派對狂歡, Party, 舞曲流行, Dance Pop, 網路迷因歌曲, Internet Meme Song, 채영이가 좋아하는 랜덤 게임, 아파트 아파트 아파트 아파트",
Lydia,F.I.R.飛兒樂團,Pm2-x3EiRNs,"[0.30, 0.80, 0.78, 0.65], 飛兒樂團, 2004, 2000年代, 2000s, 台灣, Taiwan, 鬥魚, The Outsiders, 高音唱腔, High-pitched Vocals, 電吉他, Electric Guitar, 壯闊深情, Grand Passionate, 失戀療傷, Heartbreak Healing, 流行搖滾, Pop Rock, 為何流浪心碎的海洋, Lydia幸福不在遠方",
四季予你,程響,Imb-YVoFApg,"[0.30, 0.80, 0.55, 0.35], Hot Mix Chinese Club 夜店流行中文DJ舞曲 Electronic Mix Music, 2020, 2020年代, 2020s, 中國, China, 甜美嗓音, Sweet Vocals, 鋼琴, Piano, 甜蜜愉悅, Sweet Joy, 約會, Dating, 網紅歌曲, Internet Viral Song, 送你三月的風 六月的雨 九月的風景, 讓我餘生 都有關於你",
說好不哭,"周杰倫, 五月天阿信",NzGEuyVqvQg,"[0.82, 0.35, 0.78, 0.35], 2019, 2010年代, 2010s, 台灣, Taiwan, 周氏情歌, Jay Chou Style, 氣聲人聲, Breathy Vocals, 鋼琴, Piano, 弦樂, Strings, 情感糾葛, Emotional Entanglement, 傷感釋懷, Sadness and Relief, 失戀療傷, Heartbreak Healing, 獨處時光, Solitude, 華語流行, Mandopop, 沒有了聯絡後來的生活, 眼看著你難過挽留的話卻沒有說",
DRIP,BABYMONSTER,3-BAcYLadbk,"[0.30, 0.80, 0.55, 0.65], 2024, 2020年代, 2020s, 韓國, South Korea, 強力人聲, Powerful Vocals, 合成器, Synthesizer, 鼓機, Drum Machine, 自信張揚, Confident and Assertive, 派對狂歡, Party, 健身運動, Workout, 嘻哈舞曲, Hip-hop Dance, 當代節奏藍調, Contemporary R&B, When, But",
